#Namesfasta/SE005.fa	fasta/SE003.fa	fasta/SE015.fa	fasta/SE010.fa	fasta/SE004.fa	fasta/SE002.fa	fasta/SE012.fa	fasta/SE014.fa	fasta/SE001.fa	fasta/SE007.fa	fasta/SE013.fa	fasta/SE008.fa	fasta/SE009.fa	fasta/SE006.fa	fasta/SE011.fa
fasta/SE005.fa	0	0.0984113	0.135096	0.132556	0.175357	0.217655	0.230636	0.0916892	0.0951241	0.178667	0.110554	0.117802	0.109691	0.119777	0.121744
fasta/SE003.fa	0.0984113	0	0.0720626	0.0710782	0.0919313	0.0995846	0.104864	0.0688184	0.0712444	0.0739172	0.0884029	0.0874939	0.0876376	0.0898795	0.0897609
fasta/SE015.fa	0.135096	0.0720626	0	0.81104	0.212149	0.134469	0.142243	0.066285	0.0684424	0.0986838	0.0783585	0.0832321	0.0777839	0.0843665	0.0856312
fasta/SE010.fa	0.132556	0.0710782	0.81104	0	0.207479	0.13192	0.139429	0.0653557	0.0675138	0.0969671	0.0773024	0.0820341	0.0767281	0.0830739	0.084403
fasta/SE004.fa	0.175357	0.0919313	0.212149	0.207479	0	0.175541	0.186754	0.0821239	0.0850901	0.124968	0.0984242	0.104709	0.0977046	0.106424	0.107907
fasta/SE002.fa	0.217655	0.0995846	0.134469	0.13192	0.175541	0	0.788914	0.0919071	0.0951851	0.146923	0.112823	0.117219	0.111979	0.121674	0.121115
fasta/SE012.fa	0.230636	0.104864	0.142243	0.139429	0.186754	0.788914	0	0.096754	0.10031	0.155665	0.118814	0.123771	0.117942	0.128541	0.127812
fasta/SE014.fa	0.0916892	0.0688184	0.066285	0.0653557	0.0821239	0.0919071	0.096754	0	0.507142	0.06899	0.185267	0.198915	0.183464	0.203398	0.205982
fasta/SE001.fa	0.0951241	0.0712444	0.0684424	0.0675138	0.0850901	0.0951851	0.10031	0.507142	0	0.0712574	0.193687	0.20848	0.191728	0.212775	0.215817
fasta/SE007.fa	0.178667	0.0739172	0.0986838	0.0969671	0.124968	0.146923	0.155665	0.06899	0.0712574	0	0.081564	0.0862205	0.080949	0.0875466	0.0888403
fasta/SE013.fa	0.110554	0.0884029	0.0783585	0.0773024	0.0984242	0.112823	0.118814	0.185267	0.193687	0.081564	0	0.291105	0.947443	0.396579	0.30402
fasta/SE008.fa	0.117802	0.0874939	0.0832321	0.0820341	0.104709	0.117219	0.123771	0.198915	0.20848	0.0862205	0.291105	0	0.288021	0.32873	0.52147
fasta/SE009.fa	0.109691	0.0876376	0.0777839	0.0767281	0.0977046	0.111979	0.117942	0.183464	0.191728	0.080949	0.947443	0.288021	0	0.391715	0.300734
fasta/SE006.fa	0.119777	0.0898795	0.0843665	0.0830739	0.106424	0.121674	0.128541	0.203398	0.212775	0.0875466	0.396579	0.32873	0.391715	0	0.343852
fasta/SE011.fa	0.121744	0.0897609	0.0856312	0.084403	0.107907	0.121115	0.127812	0.205982	0.215817	0.0888403	0.30402	0.52147	0.300734	0.343852	0
